x,y
-2.8000,-2.3314
-2.6727,-1.9591
-2.5455,-2.0118
-2.4182,-1.9408
-2.2909,-1.7211
-2.1636,-2.2034
-2.0364,-1.5862
-1.9091,-2.3268
-1.7818,-0.6939
-1.6545,-0.0907
-1.5273,0.2107
-1.4000,0.3431
-1.2727,0.1867
-1.1455,0.4220
-1.0182,0.0982
-0.8909,0.5623
-0.7636,1.3813
-0.6364,1.3694
-0.5091,1.7619
-0.3818,1.3570
-0.2545,1.2741
-0.1273,2.8102
0.0000,1.7702
0.1273,1.4120
0.2545,2.2807
0.3818,2.5586
0.5091,3.1333
0.6364,3.9304
0.7636,4.1764
0.8909,3.9655
1.0182,5.0015
1.1455,4.3547
1.2727,4.2488
1.4000,4.3113
1.5273,5.0812
1.6545,4.9930
1.7818,6.0189
1.9091,5.4833
2.0364,5.1617
2.1636,4.8455
2.2909,7.0692
2.4182,7.0826
2.5455,5.5919
2.6727,6.2261
2.8000,6.8086
