x,clase
-3.2000,0
-3.0984,0
-2.9968,0
-2.8952,0
-2.7937,0
-2.6921,0
-2.5905,0
-2.4889,0
-2.3873,0
-2.2857,0
-2.1841,0
-2.0825,0
-1.9810,0
-1.8794,0
-1.7778,0
-1.6762,0
-1.5746,0
-1.4730,0
-1.3714,0
-1.2698,0
-1.1683,0
-1.0667,0
-0.9651,0
-0.8635,0
-0.7619,0
-0.6603,0
-0.5587,0
-0.4571,0
-0.3556,0
-0.2540,1
-0.1524,0
-0.0508,0
0.0508,1
0.1524,1
0.2540,0
0.3556,1
0.4571,1
0.5587,0
0.6603,0
0.7619,0
0.8635,1
0.9651,1
1.0667,1
1.1683,1
1.2698,1
1.3714,1
1.4730,1
1.5746,1
1.6762,1
1.7778,1
1.8794,1
1.9810,1
2.0825,1
2.1841,1
2.2857,1
2.3873,1
2.4889,1
2.5905,1
2.6921,1
2.7937,1
2.8952,1
2.9968,1
3.0984,1
3.2000,1
