modality,teaching_role,label,source_file,output_file,selection_criterion,dataset_url,license_note,notes
xray,comparación normal / neumonía,normal,xray/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0115-0001.jpeg,xray/normal/normal_01.png,"Clase obtenida de carpeta/nombre del dataset; selección entre imágenes con mejor rango tonal y entropía, seguida de muestreo determinista para diversidad.",https://www.kaggle.com/datasets/paultimothymooney/chest-xray-pneumonia,CC BY 4.0 (según la ficha de Kaggle),El subtipo bacteria/virus se toma del nombre del archivo. No debe interpretarse como diagnóstico derivado de la imagen.
xray,comparación normal / neumonía,normal,xray/chest-xray-pneumonia/chest_xray/train/NORMAL/NORMAL2-IM-1385-0001.jpeg,xray/normal/normal_02.png,"Clase obtenida de carpeta/nombre del dataset; selección entre imágenes con mejor rango tonal y entropía, seguida de muestreo determinista para diversidad.",https://www.kaggle.com/datasets/paultimothymooney/chest-xray-pneumonia,CC BY 4.0 (según la ficha de Kaggle),El subtipo bacteria/virus se toma del nombre del archivo. No debe interpretarse como diagnóstico derivado de la imagen.
xray,comparación normal / neumonía,pneumonia_bacterial,xray/chest-xray-pneumonia/chest_xray/train/PNEUMONIA/person1000_bacteria_2931.jpeg,xray/pneumonia_bacterial/pneumonia_bacterial_01.png,"Clase obtenida de carpeta/nombre del dataset; selección entre imágenes con mejor rango tonal y entropía, seguida de muestreo determinista para diversidad.",https://www.kaggle.com/datasets/paultimothymooney/chest-xray-pneumonia,CC BY 4.0 (según la ficha de Kaggle),El subtipo bacteria/virus se toma del nombre del archivo. No debe interpretarse como diagnóstico derivado de la imagen.
xray,comparación normal / neumonía,pneumonia_bacterial,xray/chest-xray-pneumonia/chest_xray/train/PNEUMONIA/person9_bacteria_41.jpeg,xray/pneumonia_bacterial/pneumonia_bacterial_02.png,"Clase obtenida de carpeta/nombre del dataset; selección entre imágenes con mejor rango tonal y entropía, seguida de muestreo determinista para diversidad.",https://www.kaggle.com/datasets/paultimothymooney/chest-xray-pneumonia,CC BY 4.0 (según la ficha de Kaggle),El subtipo bacteria/virus se toma del nombre del archivo. No debe interpretarse como diagnóstico derivado de la imagen.
xray,comparación normal / neumonía,pneumonia_viral,xray/chest-xray-pneumonia/chest_xray/train/PNEUMONIA/person1007_virus_1690.jpeg,xray/pneumonia_viral/pneumonia_viral_01.png,"Clase obtenida de carpeta/nombre del dataset; selección entre imágenes con mejor rango tonal y entropía, seguida de muestreo determinista para diversidad.",https://www.kaggle.com/datasets/paultimothymooney/chest-xray-pneumonia,CC BY 4.0 (según la ficha de Kaggle),El subtipo bacteria/virus se toma del nombre del archivo. No debe interpretarse como diagnóstico derivado de la imagen.
xray,comparación normal / neumonía,pneumonia_viral,xray/chest-xray-pneumonia/chest_xray/train/PNEUMONIA/person991_virus_1669.jpeg,xray/pneumonia_viral/pneumonia_viral_02.png,"Clase obtenida de carpeta/nombre del dataset; selección entre imágenes con mejor rango tonal y entropía, seguida de muestreo determinista para diversidad.",https://www.kaggle.com/datasets/paultimothymooney/chest-xray-pneumonia,CC BY 4.0 (según la ficha de Kaggle),El subtipo bacteria/virus se toma del nombre del archivo. No debe interpretarse como diagnóstico derivado de la imagen.
mri,FLAIR + segmentación de anormalidad,mask_small,mri/lgg-mri-segmentation/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_19.tif,mri/images/mask_small.png,Para cada paciente se identifica su corte con mayor máscara; después se eligen P25/P50/P75 del área relativa para mostrar variabilidad visible. Se exporta el canal FLAIR (canal 2).,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),Fracción de imagen cubierta por máscara: 0.0237.
mri,máscara de referencia,mask_small,mri/lgg-mri-segmentation/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_19_mask.tif,mri/masks/mask_small_mask.png,Máscara GT correspondiente al corte seleccionado.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
mri,overlay pedagógico,mask_small,mri/lgg-mri-segmentation/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_19.tif,mri/overlays/mask_small_overlay.png,Derivado visual: FLAIR + máscara GT semitransparente.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
mri,FLAIR + segmentación de anormalidad,mask_medium,mri/lgg-mri-segmentation/kaggle_3m/TCGA_FG_6691_20020405/TCGA_FG_6691_20020405_26.tif,mri/images/mask_medium.png,Para cada paciente se identifica su corte con mayor máscara; después se eligen P25/P50/P75 del área relativa para mostrar variabilidad visible. Se exporta el canal FLAIR (canal 2).,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),Fracción de imagen cubierta por máscara: 0.0401.
mri,máscara de referencia,mask_medium,mri/lgg-mri-segmentation/kaggle_3m/TCGA_FG_6691_20020405/TCGA_FG_6691_20020405_26_mask.tif,mri/masks/mask_medium_mask.png,Máscara GT correspondiente al corte seleccionado.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
mri,overlay pedagógico,mask_medium,mri/lgg-mri-segmentation/kaggle_3m/TCGA_FG_6691_20020405/TCGA_FG_6691_20020405_26.tif,mri/overlays/mask_medium_overlay.png,Derivado visual: FLAIR + máscara GT semitransparente.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
mri,FLAIR + segmentación de anormalidad,mask_large,mri/lgg-mri-segmentation/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_17.tif,mri/images/mask_large.png,Para cada paciente se identifica su corte con mayor máscara; después se eligen P25/P50/P75 del área relativa para mostrar variabilidad visible. Se exporta el canal FLAIR (canal 2).,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),Fracción de imagen cubierta por máscara: 0.0643.
