// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B4245A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
23568		9.498709	-0.005816	2.379681	-0.022775	0.024561	0.024036	-0.240710	0.586747	0.186951	0.750224	-0.465104	-76.021282	-144.058765
23569		9.484531	0.016401	2.362478	-0.014330	0.026444	0.024378	-0.240778	0.586683	0.186850	0.750277	-0.507498	-76.007831	-144.018613
23570		9.432165	-0.006977	2.343519	-0.012746	0.022899	0.019143	-0.240825	0.586626	0.186774	0.750325	-0.536638	-75.996534	-143.991576
23571		9.458708	-0.058760	2.384995	-0.011906	0.024368	0.013887	-0.240861	0.586556	0.186717	0.750383	-0.552935	-75.984207	-143.976574
23572		9.447025	-0.049840	2.347614	-0.021630	0.017180	0.016692	-0.240867	0.586529	0.186621	0.750426	-0.581594	-75.976195	-143.955277
23573		9.467018	-0.028410	2.304487	-0.026412	0.018263	0.017457	-0.240864	0.586503	0.186505	0.750476	-0.614244	-75.967420	-143.932563
23574		9.491312	-0.066497	2.365019	-0.027012	0.015372	0.018295	-0.240858	0.586491	0.186386	0.750517	-0.649644	-75.960428	-143.907494
23575		9.475060	-0.029605	2.366541	-0.025364	0.014695	0.017060	-0.240855	0.586477	0.186280	0.750555	-0.681017	-75.953669	-143.885222
23576		9.486136	-0.027166	2.335598	-0.019472	0.012910	0.019898	-0.240876	0.586466	0.186188	0.750580	-0.715779	-75.948069	-143.856356
23577		9.474452	-0.034036	2.368914	-0.017968	0.009841	0.016133	-0.240886	0.586463	0.186114	0.750597	-0.742829	-75.944310	-143.834627
