// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B4245A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
58903		9.573669	-0.092638	1.698454	0.006616	0.009165	0.002699	0.392997	-0.551389	-0.320718	-0.662317	-2.629948	-79.256247	-116.455018
58904		9.564574	-0.087035	1.808212	0.005195	0.013063	-0.006233	0.393002	-0.551310	-0.320783	-0.662348	-2.578963	-79.251388	-116.499226
58905		9.594392	-0.125517	1.857608	-0.009429	0.010732	-0.009853	0.392952	-0.551262	-0.320814	-0.662403	-2.526188	-79.247930	-116.553618
58906		9.690537	-0.100757	1.843704	-0.026797	0.017077	0.001021	0.392899	-0.551244	-0.320744	-0.662483	-2.514936	-79.240578	-116.576042
58907		9.640657	-0.065768	1.708375	-0.033658	0.027403	0.012245	0.392871	-0.551232	-0.320590	-0.662585	-2.541794	-79.227164	-116.565642
58908		9.607943	-0.014336	1.749462	-0.026581	0.023855	0.013798	0.392871	-0.551212	-0.320472	-0.662658	-2.567950	-79.215609	-116.549863
58909		9.576276	-0.073493	1.773572	-0.021390	0.018026	0.013044	0.392859	-0.551211	-0.320370	-0.662715	-2.592175	-79.207613	-116.536060
58910		9.557385	-0.163306	1.789091	-0.017101	0.021093	0.009340	0.392867	-0.551175	-0.320301	-0.662774	-2.599828	-79.197752	-116.533587
58911		9.544234	-0.133589	1.799428	-0.011248	0.019366	0.011170	0.392896	-0.551135	-0.320251	-0.662814	-2.610836	-79.188814	-116.524130
58912		9.578454	-0.176748	1.794566	-0.006156	0.006749	0.012117	0.392920	-0.551130	-0.320239	-0.662810	-2.622483	-79.187090	-116.511207
58913		9.623901	-0.188336	1.832490	0.005729	0.008014	0.008798	0.392964	-0.551094	-0.320269	-0.662799	-2.618499	-79.184780	-116.508003
58914		9.661142	-0.171141	1.824408	0.016288	0.004315	0.007461	0.393031	-0.551044	-0.320350	-0.662761	-2.603666	-79.184572	-116.508947
58915		9.641540	-0.149181	1.855122	0.013694	0.005609	0.004264	0.393081	-0.550993	-0.320425	-0.662739	-2.581971	-79.183732	-116.518843
58916		9.648151	-0.140747	1.833980	0.010728	0.007507	0.005986	0.393132	-0.550942	-0.320484	-0.662722	-2.565475	-79.181734	-116.524721
58917		9.613531	-0.099380	1.840865	0.013910	0.009139	0.009892	0.393205	-0.550887	-0.320538	-0.662698	-2.559132	-79.178735	-116.518906
58918		9.629037	-0.071280	1.830712	0.015650	0.009065	0.008448	0.393281	-0.550824	-0.320604	-0.662673	-2.546989	-79.175781	-116.517483
58919		9.665497	-0.102390	1.858131	0.018981	0.009808	0.008958	0.393367	-0.550756	-0.320676	-0.662644	-2.535430	-79.172412	-116.513975
58920		9.628615	-0.072298	1.832887	0.020380	0.015947	0.008852	0.393468	-0.550662	-0.320743	-0.662630	-2.520881	-79.165509	-116.512241
58921		9.599883	-0.070490	1.853801	0.020085	0.014484	0.008499	0.393562	-0.550575	-0.320810	-0.662614	-2.506019	-79.159481	-116.511577
58922		9.588471	-0.102308	1.812037	0.023710	0.016690	0.009363	0.393675	-0.550473	-0.320886	-0.662595	-2.491009	-79.152140	-116.508369
58923		9.588163	-0.102791	1.813640	0.018859	0.016310	0.008776	0.393781	-0.550376	-0.320954	-0.662579	-2.477111	-79.144920	-116.505361
58924		9.616337	-0.105699	1.795674	0.021155	0.013554	0.011624	0.393889	-0.550293	-0.321021	-0.662551	-2.470729	-79.139319	-116.494859
58925		9.609298	-0.115100	1.818853	0.022967	0.014657	0.012057	0.394009	-0.550202	-0.321092	-0.662521	-2.465088	-79.133050	-116.482200
58926		9.606848	-0.127234	1.787793	0.019930	0.015379	0.011901	0.394118	-0.550116	-0.321150	-0.662500	-2.459993	-79.126398	-116.471103
58927		9.584886	-0.117212	1.786835	0.016151	0.014068	0.014435	0.394223	-0.550046	-0.321191	-0.662475	-2.465239	-79.120432	-116.451707
58928		9.591391	-0.109678	1.766471	0.016445	0.015532	0.014789	0.394332	-0.549971	-0.321230	-0.662454	-2.470703	-79.113620	-116.431890
58929		9.564758	-0.097141	1.820034	0.010667	0.018441	0.014826	0.394431	-0.549897	-0.321245	-0.662450	-2.479012	-79.105117	-116.412308
58930		9.586178	-0.109212	1.823732	0.014971	0.008214	0.013025	0.394519	-0.549846	-0.321298	-0.662414	-2.480987	-79.102538	-116.396902
58931		9.545110	-0.102307	1.733172	0.016596	0.014638	0.011394	0.394623	-0.549763	-0.321355	-0.662393	-2.476336	-79.096224	-116.385938
58932		9.589935	-0.088337	1.891444	0.000969	0.017685	0.013643	0.394690	-0.549709	-0.321341	-0.662404	-2.486932	-79.088208	-116.369923
58933		9.520245	-0.079642	1.821094	-0.004444	0.023238	0.015906	0.394768	-0.549646	-0.321301	-0.662430	-2.506284	-79.076831	-116.346353
58934		9.531340	-0.075623	1.746993	0.000434	0.019191	0.021962	0.394863	-0.549601	-0.321259	-0.662431	-2.541591	-79.067740	-116.305480
58935		9.446002	-0.095861	1.687328	0.012660	0.014222	0.017330	0.394969	-0.549542	-0.321281	-0.662406	-2.557395	-79.061600	-116.277141
58936		9.527812	-0.138205	1.752162	0.027810	0.001742	0.014571	0.395087	-0.549489	-0.321386	-0.662329	-2.557372	-79.062681	-116.256276
58937		9.514142	-0.156367	1.795799	0.028512	-0.001831	0.015469	0.395210	-0.549444	-0.321503	-0.662236	-2.559211	-79.065691	-116.231778
58938		9.523100	-0.137280	1.806436	0.017818	-0.000475	0.013032	0.395292	-0.549416	-0.321583	-0.662172	-2.560655	-79.068081	-116.215250
58939		9.582218	-0.131669	1.800092	0.006084	-0.002614	0.012934	0.395327	-0.549427	-0.321616	-0.662125	-2.571914	-79.071856	-116.197755
58940		9.623966	-0.092427	1.856250	0.001306	-0.001811	0.014215	0.395365	-0.549438	-0.321640	-0.662082	-2.586519	-79.074979	-116.177458
58941		9.654578	-0.084962	1.869389	-0.003106	0.001638	0.017724	0.395402	-0.549457	-0.321626	-0.662051	-2.615559	-79.076127	-116.146353
58942		9.670261	-0.058115	1.858833	-0.002921	0.009603	0.017885	0.395458	-0.549445	-0.321603	-0.662038	-2.641930	-79.072617	-116.116539
58943		9.675831	-0.099369	1.873732	0.002562	0.018509	0.015596	0.395529	-0.549395	-0.321578	-0.662050	-2.659344	-79.064188	-116.094416
58944		9.684406	-0.081005	1.886421	0.002998	0.022335	0.019700	0.395628	-0.549332	-0.321545	-0.662059	-2.685882	-79.053339	-116.060977
58945		9.703431	-0.105060	1.858832	0.001751	0.028585	0.014508	0.395709	-0.549248	-0.321502	-0.662101	-2.698545	-79.039158	-116.043930
58946		9.673268	-0.152332	1.916640	-0.003137	0.035893	0.015597	0.395800	-0.549145	-0.321433	-0.662165	-2.714470	-79.020657	-116.024878
58947		9.679408	-0.145322	1.898382	-0.002843	0.037357	0.015952	0.395906	-0.549030	-0.321372	-0.662227	-2.729569	-79.001164	-116.004415
58948		9.648043	-0.156014	1.888882	-0.005810	0.039265	0.017666	0.396001	-0.548925	-0.321282	-0.662301	-2.752513	-78.980674	-115.979771
58949		9.588124	-0.164388	1.898837	-0.007034	0.041094	0.017940	0.396095	-0.548818	-0.321180	-0.662383	-2.777401	-78.959157	-115.954392
58950		9.603181	-0.137725	1.891715	-0.008781	0.041175	0.019383	0.396191	-0.548715	-0.321072	-0.662463	-2.806614	-78.937521	-115.925090
58951		9.580731	-0.128563	1.893236	-0.006516	0.042843	0.016777	0.396298	-0.548592	-0.320984	-0.662544	-2.826050	-78.914870	-115.902613
58952		9.556242	-0.130724	1.862177	-0.010371	0.040361	0.017428	0.396382	-0.548491	-0.320877	-0.662629	-2.850383	-78.893751	-115.879208
58953		9.609759	-0.123201	1.914162	-0.001566	0.036714	0.017573	0.396483	-0.548387	-0.320804	-0.662690	-2.871240	-78.874740	-115.854599
58954		9.587395	-0.113757	1.915255	-0.007179	0.038738	0.014199	0.396562	-0.548281	-0.320720	-0.662771	-2.884434	-78.854640	-115.840680
58955		9.624141	-0.097835	1.910627	-0.008336	0.041748	0.016348	0.396647	-0.548174	-0.320615	-0.662860	-2.905493	-78.832814	-115.820305
58956		9.668581	-0.110058	1.952183	-0.011276	0.040400	0.010908	0.396707	-0.548064	-0.320523	-0.662959	-2.911153	-78.811857	-115.816456
58957		9.624545	-0.089198	1.951015	-0.007949	0.041136	0.011433	0.396781	-0.547946	-0.320440	-0.663052	-2.916922	-78.790436	-115.810317
58958		9.616723	-0.098919	1.976877	-0.005383	0.044266	0.009185	0.396857	-0.547810	-0.320365	-0.663156	-2.913642	-78.767317	-115.812139
58959		9.604915	-0.131032	1.937806	-0.000143	0.044023	0.004875	0.396920	-0.547666	-0.320305	-0.663265	-2.897338	-78.744638	-115.826829
58960		9.569783	-0.089540	1.947707	-0.000312	0.044921	0.008277	0.397009	-0.547516	-0.320247	-0.663364	-2.888501	-78.721170	-115.831355
58961		9.550989	-0.130423	1.930467	-0.005096	0.045734	0.009546	0.397095	-0.547372	-0.320173	-0.663467	-2.885841	-78.697132	-115.831447
58962		9.566088	-0.102611	1.923756	-0.009841	0.043289	0.003659	0.397139	-0.547238	-0.320100	-0.663586	-2.869543	-78.674731	-115.849152
58963		9.536641	-0.100803	1.946910	-0.009084	0.040894	0.006435	0.397186	-0.547120	-0.320021	-0.663694	-2.862594	-78.653679	-115.857929
58964		9.512345	-0.101736	1.915606	-0.008917	0.039999	0.003037	0.397226	-0.546994	-0.319959	-0.663803	-2.844575	-78.633177	-115.876851
58965		9.517225	-0.141811	1.932772	-0.006474	0.036341	0.002499	0.397259	-0.546880	-0.319907	-0.663903	-2.825745	-78.614850	-115.896369
58966		9.554114	-0.124557	1.927894	-0.001692	0.035530	0.001238	0.397305	-0.546752	-0.319883	-0.663992	-2.799237	-78.596953	-115.919729
58967		9.508394	-0.114062	1.893325	-0.004265	0.032401	0.003483	0.397347	-0.546644	-0.319849	-0.664072	-2.782017	-78.580778	-115.935192
58968		9.505936	-0.125692	1.863776	-0.007423	0.030772	-0.000446	0.397365	-0.546541	-0.319820	-0.664161	-2.754810	-78.565647	-115.962619
58969		9.535892	-0.117041	1.880097	-0.011219	0.029472	0.002066	0.397375	-0.546456	-0.319771	-0.664248	-2.738082	-78.551224	-115.982190
58970		9.580384	-0.128118	1.920637	-0.006729	0.027196	0.000451	0.397392	-0.546365	-0.319749	-0.664324	-2.713617	-78.538111	-116.006416
58971		9.612207	-0.108013	1.969255	-0.005213	0.026831	0.000539	0.397408	-0.546275	-0.319726	-0.664399	-2.690035	-78.525260	-116.029797
58972		9.631401	-0.130638	1.942170	0.000514	0.031591	0.002232	0.397457	-0.546158	-0.319715	-0.664471	-2.665972	-78.509580	-116.049380
58973		9.647072	-0.139172	2.002200	0.002324	0.032690	0.002679	0.397524	-0.546028	-0.319714	-0.664539	-2.641434	-78.493134	-116.066667
58974		9.637476	-0.159466	1.994643	0.002676	0.035335	0.004916	0.397594	-0.545898	-0.319695	-0.664613	-2.623306	-78.475237	-116.078931
58975		9.584635	-0.157773	1.982048	-0.002807	0.039725	0.005280	0.397667	-0.545758	-0.319656	-0.664702	-2.608405	-78.454690	-116.089338
58976		9.563990	-0.136023	2.015889	-0.007007	0.043467	0.007252	0.397731	-0.545624	-0.319582	-0.664809	-2.601413	-78.432077	-116.095900
58977		9.564723	-0.088631	1.984651	-0.009349	0.040621	0.007970	0.397778	-0.545513	-0.319493	-0.664916	-2.600518	-78.411200	-116.099585
58978		9.524458	-0.118538	1.964445	-0.014246	0.047941	0.009049	0.397835	-0.545381	-0.319381	-0.665043	-2.602150	-78.385979	-116.101580
58979		9.539649	-0.091290	1.957716	-0.012108	0.038389	0.013611	0.397908	-0.545278	-0.319292	-0.665127	-2.615547	-78.365972	-116.088493
58980		9.524535	-0.109990	2.004811	-0.010063	0.039772	0.012541	0.397976	-0.545171	-0.319200	-0.665218	-2.625485	-78.345336	-116.079560
58981		9.546995	-0.074004	1.975984	-0.010178	0.037414	0.008784	0.398026	-0.545067	-0.319121	-0.665311	-2.626339	-78.326159	-116.080339
58982		9.542872	-0.134676	1.982129	-0.010473	0.035950	0.008426	0.398072	-0.544966	-0.319047	-0.665401	-2.625571	-78.307818	-116.082577
58983		9.570909	-0.138176	1.966628	-0.011992	0.036317	0.008338	0.398119	-0.544865	-0.318971	-0.665493	-2.624939	-78.289209	-116.084892
58984		9.550317	-0.116737	1.999803	-0.009253	0.034122	0.008161	0.398165	-0.544768	-0.318906	-0.665576	-2.622980	-78.271921	-116.087631
58985		9.608859	-0.111390	1.997762	-0.007975	0.033472	0.009774	0.398227	-0.544667	-0.318849	-0.665649	-2.624049	-78.254839	-116.085009
58986		9.541725	-0.127336	2.027903	-0.007500	0.034042	0.006735	0.398273	-0.544564	-0.318794	-0.665732	-2.617184	-78.237634	-116.091734
58987		9.526719	-0.108367	2.006567	-0.008087	0.031114	0.006016	0.398292	-0.544484	-0.318725	-0.665819	-2.611529	-78.222346	-116.101145
58988		9.517237	-0.129010	1.998490	-0.003830	0.028551	0.005932	0.398336	-0.544391	-0.318695	-0.665883	-2.601084	-78.208305	-116.109381
58989		9.507767	-0.149704	1.990359	-0.005294	0.030098	0.007722	0.398382	-0.544302	-0.318647	-0.665951	-2.597635	-78.193372	-116.112097
58990		9.494496	-0.119462	2.001223	-0.007398	0.027537	0.006910	0.398418	-0.544221	-0.318604	-0.666016	-2.592072	-78.179886	-116.117435
58991		9.477887	-0.148982	2.014191	-0.004737	0.019727	0.010306	0.398469	-0.544161	-0.318583	-0.666045	-2.594979	-78.170668	-116.111204
58992		9.512010	-0.155193	1.942588	0.001438	0.011752	0.010846	0.398517	-0.544121	-0.318590	-0.666045	-2.597068	-78.166114	-116.103550
58993		9.484866	-0.105028	1.927033	0.011604	0.004182	0.005489	0.398571	-0.544073	-0.318668	-0.666015	-2.579183	-78.165920	-116.109019
58994		9.454157	-0.151215	1.981311	0.005935	0.000606	0.005651	0.398597	-0.544053	-0.318726	-0.665988	-2.565880	-78.167880	-116.114460
