// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B4245A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
40218		9.532252	-0.197271	2.215434	-0.003155	-0.015541	-0.000924	0.402915	-0.539748	-0.315832	-0.668268	-3.369078	-77.395435	-115.127244
40219		9.556230	-0.180711	2.194973	-0.003155	-0.015542	-0.000923	0.402869	-0.539789	-0.315909	-0.668226	-3.347328	-77.406560	-115.146727
40220		9.506624	-0.164386	2.208100	-0.003056	-0.018443	-0.001915	0.402823	-0.539830	-0.315999	-0.668178	-3.322811	-77.418856	-115.167925
40221		9.505480	-0.133824	2.168300	0.000453	-0.012591	-0.005886	0.402775	-0.539846	-0.316095	-0.668149	-3.285750	-77.428452	-115.200977
40222		9.505301	-0.129324	2.201267	0.004080	-0.015284	-0.003317	0.402741	-0.539865	-0.316200	-0.668104	-3.253503	-77.439159	-115.227202
40223		9.530001	-0.127575	2.200041	0.004019	-0.014293	-0.001400	0.402715	-0.539886	-0.316300	-0.668055	-3.226066	-77.449575	-115.248297
40224		9.528353	-0.093034	2.194545	0.000527	-0.016410	-0.004035	0.402667	-0.539916	-0.316397	-0.668015	-3.193939	-77.460946	-115.276587
40225		9.554281	-0.110452	2.178184	0.008751	-0.013102	0.000506	0.402662	-0.539926	-0.316505	-0.667958	-3.168440	-77.470617	-115.292918
40226		9.532195	-0.146167	2.180762	0.003935	-0.014219	0.003361	0.402651	-0.539954	-0.316589	-0.667902	-3.153677	-77.480530	-115.301402
40227		9.556098	-0.129532	2.160469	0.011192	-0.013043	-0.001879	0.402645	-0.539955	-0.316711	-0.667847	-3.120565	-77.490238	-115.324098
40228		9.583419	-0.176924	2.183019	0.010983	-0.004419	-0.003664	0.402647	-0.539924	-0.316819	-0.667820	-3.081872	-77.494712	-115.352707
40229		9.605900	-0.140568	2.178731	0.014600	-0.004290	-0.004863	0.402654	-0.539884	-0.316943	-0.667789	-3.037822	-77.499497	-115.384606
40230		9.533619	-0.159120	2.197208	0.008556	-0.000743	-0.007887	0.402636	-0.539841	-0.317044	-0.667787	-2.988933	-77.502060	-115.425777
40231		9.531606	-0.124188	2.193272	0.004780	0.003022	-0.003781	0.402632	-0.539798	-0.317118	-0.667788	-2.952275	-77.502618	-115.455867
40232		9.508100	-0.133470	2.124783	0.001140	0.001978	0.000261	0.402627	-0.539773	-0.317167	-0.667788	-2.928089	-77.503338	-115.475886
40233		9.484389	-0.149742	2.144303	0.001053	0.008616	-0.005359	0.402616	-0.539717	-0.317222	-0.667814	-2.888756	-77.500734	-115.510902
40234		9.509113	-0.152072	2.110679	0.001140	0.001977	0.000261	0.402612	-0.539690	-0.317273	-0.667814	-2.864065	-77.501395	-115.531185
40235		9.483920	-0.138184	2.091606	0.010751	0.003290	-0.002606	0.402628	-0.539637	-0.317363	-0.667805	-2.826980	-77.501752	-115.558207
40236		9.483868	-0.137576	2.091881	0.009636	0.002226	-0.005709	0.402632	-0.539579	-0.317462	-0.667803	-2.781022	-77.502293	-115.594533
40237		9.505036	-0.100383	2.244785	-0.012150	0.008086	-0.004137	0.402588	-0.539553	-0.317470	-0.667846	-2.752507	-77.499939	-115.626218
40238		9.530878	-0.122362	2.196534	-0.014812	0.012914	0.003072	0.402571	-0.539525	-0.317440	-0.667893	-2.743016	-77.494205	-115.639806
40239		9.555161	-0.114535	2.110111	-0.002835	0.011544	0.006349	0.402594	-0.539485	-0.317444	-0.667910	-2.735815	-77.489583	-115.644193
40240		9.481836	-0.119053	2.110553	0.012969	0.008238	-0.000164	0.402627	-0.539417	-0.317519	-0.667910	-2.703628	-77.486805	-115.665932
