Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Time,Acc_X_global,Acc_Y_global,Acc_Z_global,Gyr_X_global,Gyr_Y_global,Gyr_Z_global,Acc_Global_Mag,Acc_Local_Mag,Gyr_Global_Mag
9.573669,-0.092638,1.698454,0.006616,0.009165,0.002699,0.392997,-0.551389,-0.320718,-0.662317,-2.629948,-79.256247,-116.455018,0.0,1.2366330857677602e-09,6.278751573734428e-10,-4.276383175677844e-09,-2.470134229767713e-12,3.121565280021722e-12,-3.6088267223127905e-12,1.3868989155890987e-09,1.7009784799226588,5.3730217961763474e-12
9.564574,-0.087035,1.808212,0.005195,0.013063,-0.006233,0.393002,-0.55131,-0.320783,-0.662348,-2.578963,-79.251388,-116.499226,0.01,2.4004433356157125e-08,1.2223236320100708e-08,-8.292669565013207e-08,-5.1549017502029666e-11,5.780833675269273e-11,-6.998720733643107e-11,2.69373407538164e-08,1.8103054240014307,1.0439020162012275e-10
9.594392,-0.125517,1.857608,-0.009429,0.010732,-0.009853,0.392952,-0.551262,-0.320814,-0.662403,-2.526188,-79.24793,-116.553618,0.02,2.316587552018967e-07,1.1830520493037326e-07,-7.994001118077321e-07,-5.33643633333643e-10,5.287537322700191e-10,-6.680306475076906e-10,2.601190119451285e-07,1.8618437095935307,1.0052964651268555e-09
9.690537,-0.100757,1.843704,-0.026797,0.017077,0.001021,0.392899,-0.551244,-0.320744,-0.662483,-2.514936,-79.240578,-116.576042,0.03,1.488588847595525e-06,7.623806913242762e-07,-5.130481922916963e-06,-3.669181533488036e-09,3.203947157293553e-09,-4.1930546960011525e-09,1.672459588656735e-06,1.8464550935955633,6.4272761101477795e-09
9.640657,-0.065768,1.708375,-0.033658,0.027403,0.012245,0.392871,-0.551232,-0.32059,-0.662585,-2.541794,-79.227164,-116.565642,0.04,7.1966181452880945e-06,3.69599157699579e-06,-2.477138519510982e-05,-1.8931356960813513e-08,1.4571032335924008e-08,-1.9505374396585255e-08,8.09022042136762e-06,1.7096404798813698,3.084105851074585e-08
9.607943,-0.014336,1.749462,-0.026581,0.023855,0.013798,0.392871,-0.551212,-0.320472,-0.662658,-2.56795,-79.215609,-116.549863,0.05,2.8038207246285252e-05,1.443790175997484e-05,-9.638295943848322e-05,-7.850802122625977e-08,5.347356480272358e-08,-7.182289438116056e-08,3.153718555636072e-05,1.7495207373277974,1.1908593404286368e-07
9.576276,-0.073493,1.773572,-0.02139,0.018026,0.013044,0.392859,-0.551211,-0.32037,-0.662715,-2.592175,-79.207613,-116.53606,0.06,9.204930276876347e-05,4.751792108629926e-05,-0.00031601628458321655,-2.736156593730696e-07,1.663443666727922e-07,-2.1816793631700936e-07,0.00010359067025837437,1.7750940426447832,3.874702902349478e-07
9.557385,-0.163306,1.789091,-0.017101,0.021093,0.00934,0.392867,-0.551175,-0.320301,-0.662774,-2.599828,-79.197752,-116.533587,0.07,0.0002627969362859406,0.00013597615708439592,-0.0009011123451109846,-8.270394672509407e-07,4.548601438826143e-07,-5.618145900254021e-07,0.0002958914412697958,1.7965287239331855,1.098420531694962e-06
9.544234,-0.133589,1.799428,-0.011248,0.019366,0.01117,0.392896,-0.551135,-0.320251,-0.662814,-2.610836,-79.188814,-116.52413,0.08,0.0006679198944839374,0.00034633038893224107,-0.0022877034653315297,-2.2192500563724783e-06,1.1239810375852916e-06,-1.2481850915493525e-06,0.0007523707355721589,1.8043799899425288,2.7832301752328394e-06
9.578454,-0.176748,1.794566,-0.006156,0.006749,0.012117,0.39292,-0.55113,-0.320239,-0.66281,-2.622483,-79.18709,-116.511207,0.09,0.0015387376222198716,0.0007994155483852857,-0.00526519450628263,-5.382168250184152e-06,2.56264875186642e-06,-2.4135421817354595e-06,0.0017340065423852966,1.8032490077246681,6.4311810394164165e-06
9.623901,-0.188336,1.83249,0.005729,0.008014,0.008798,0.392964,-0.551094,-0.320269,-0.662799,-2.618499,-79.18478,-116.508003,0.1,0.00325923060535923,0.001696231660783764,-0.01114299079611662,-1.1964435655663328e-05,5.47259127286709e-06,-4.053184258001057e-06,0.003674205490436747,1.8421427873528153,1.3766818021157852e-05
9.661142,-0.171141,1.824408,0.016288,0.004315,0.007461,0.393031,-0.551044,-0.32035,-0.662761,-2.603666,-79.184572,-116.508947,0.11,0.006419921760004485,0.0033464562221449745,-0.021933823673669185,-2.4655205197453474e-05,1.1059191420051388e-05,-5.783295619775412e-06,0.007239762748275105,1.832417472178488,2.7633880770163073e-05
